,time,lat,lon,Temperature,Variable,SSP
7,2040-08-01 12:00:00,22.0,91.0,0.9200000166893005,Anomaly of daily maximum near-surface air temperature relative to 1995-2014,SSP245
7,2040-08-01 12:00:00,22.0,91.0,0.0,Anomaly of tr tropical nights relative to 1995-2014,SSP245
7,2040-08-01 12:00:00,22.0,91.0,30.950000762939492,Hi35 heat index 35 degc and higher,SSP585
7,2040-08-01 12:00:00,22.0,91.0,31.0,Hi35 heat index 35 degc and higher,SSP245
7,2040-08-01 12:00:00,22.0,91.0,29.239999771118164,Near-surface air temperature,SSP585
7,2040-08-01 12:00:00,22.0,91.0,1.3300000429153442,Anomaly of daily maximum near-surface air temperature relative to 1995-2014,SSP585
7,2040-08-01 12:00:00,22.0,91.0,31.0,Tr tropical nights,SSP245
7,2040-08-01 12:00:00,22.0,91.0,28.889999389648438,Near-surface air temperature,SSP245
7,2040-08-01 12:00:00,22.0,91.0,31.15999984741211,Daily maximum near-surface air temperature,SSP585
7,2040-08-01 12:00:00,22.0,91.0,0.8799999952316284,Anomaly of near-surface air temperature relative to 1995-2014,SSP245
7,2040-08-01 12:00:00,22.0,91.0,30.75,Daily maximum near-surface air temperature,SSP245
7,2040-08-01 12:00:00,22.0,91.0,1.2300000190734863,Anomaly of near-surface air temperature relative to 1995-2014,SSP585
8,2040-09-01 12:00:00,22.0,91.0,29.489999771118164,Near-surface air temperature,SSP585
8,2040-09-01 12:00:00,22.0,91.0,30.0,Tr tropical nights,SSP245
8,2040-09-01 12:00:00,22.0,91.0,30.0,Tr tropical nights,SSP585
8,2040-09-01 12:00:00,22.0,91.0,31.110000610351562,Daily maximum near-surface air temperature,SSP585
8,2040-09-01 12:00:00,22.0,91.0,30.90999984741211,Daily maximum near-surface air temperature,SSP245
8,2040-09-01 12:00:00,22.0,91.0,0.0,Anomaly of tr tropical nights relative to 1995-2014,SSP245
8,2040-09-01 12:00:00,22.0,91.0,1.0099999904632568,Anomaly of daily maximum near-surface air temperature relative to 1995-2014,SSP245
8,2040-09-01 12:00:00,22.0,91.0,1.600000023841858,Anomaly of near-surface air temperature relative to 1995-2014,SSP585
8,2040-09-01 12:00:00,22.0,91.0,0.0,Anomaly of tr tropical nights relative to 1995-2014,SSP585
