,flood_file_name,Year,SSP,Return period,Road length flooded more than 15cm,Percentage of road flooded more than 15cm,Road length flooded more than 50cm,Percentage of road flooded more than 50cm,Road length flooded more than 85cm,Percentage of road flooded more than 85cm,Road length flooded more than 120cm,Percentage of road flooded more than 120cm,Road length flooded more than 155cm,Percentage of road flooded more than 155cm,Road length flooded more than 190cm,Percentage of road flooded more than 190cm,Road length flooded more than 225cm,Percentage of road flooded more than 225cm,Road length flooded more than 260cm,Percentage of road flooded more than 260cm,Road length flooded more than 295cm,Percentage of road flooded more than 295cm,Road length flooded more than 330cm,Percentage of road flooded more than 330cm,Road length flooded more than 365cm,Percentage of road flooded more than 365cm
25, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP3_2030_1in100_,2030,SSP3,100,590370,35.45382481173206,356880,21.431917270205023,307170,18.446654415738838,264660,15.893777249306382,205680,12.351817821496775,141870,8.519799661297878,78930,4.740028105069722,40560,2.435772709256657,4680,0.28105069722192194,540,0.03242892660252946,60,0.0036032140669477178
26, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP3_2030_1in1000_,2030,SSP3,1000,1093410,65.66317154902173,882210,52.979858033365765,752130,45.16808993622311,638580,38.349007314524556,540660,32.46856195726588,455340,27.344791554066227,383550,23.033545922963285,330450,19.844701473714554,294210,17.668360177278135,256320,15.392930494000648,196320,11.78971642705293
27, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP3_2030_1in20_,2030,SSP3,20,272850,16.385615969444743,129300,7.764926314272332,76620,4.601304363492234,35460,2.1294995135661012,6360,0.381940691096458,1230,0.0738658883724282,150,0.009008035167369293,60,0.0036032140669477178,0,0.0,0,0.0,0,0.0
28, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP3_2030_1in200_,2030,SSP3,200,770430,46.26707022664217,492150,29.55536338413865,382890,22.99391056822686,326610,19.6140957734299,290340,17.435952869960005,245850,14.764169639318272,180450,10.836666306345261,117120,7.033473858681945,64470,3.871653514935322,24390,1.4647065182142471,2490,0.14953338377833028
29, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP3_2030_1in5_,2030,SSP3,5,65610,3.940114582207329,17100,1.0269160090800995,5370,0.3224876589918207,1080,0.06485785320505892,120,0.0072064281338954355,30,0.0018016070334738589,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
30, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP3_2030_1in50_,2030,SSP3,50,471750,28.330270601376426,285840,17.165711814938923,224850,13.50304471588657,156840,9.418801571001332,91860,5.516520736496956,50820,3.0519223147047168,10440,0.6269592476489028,1140,0.06846106727200663,150,0.009008035167369293,60,0.0036032140669477178,30,0.0018016070334738589
31, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP3_2030_1in500_,2030,SSP3,500,930420,55.87504053615825,719520,43.20974309083703,594360,35.69343854718409,494130,29.67426944834793,405090,24.327099772997514,340200,20.43022375959356,300060,18.019673548805535,261840,15.724426188159837,205530,12.342809786329406,145830,8.757611789716426,76260,4.579685079090549
32, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP5_2030_1in10_,2030,SSP5,10,129210,7.75952149317191,65610,3.940114582207329,18090,1.0863690411847367,5970,0.3585197996612979,1350,0.08107231650632364,150,0.009008035167369293,30,0.0018016070334738589,0,0.0,0,0.0,0,0.0,0,0.0
33, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP5_2030_1in100_,2030,SSP5,100,594450,35.698843368284514,359700,21.601268331351566,309030,18.55835405181422,267870,16.086549201888083,209850,12.602241199149642,145800,8.755810182682954,82050,4.927395236551003,42690,2.563686808633301,5160,0.3098764097575037,750,0.04504017583684647,90,0.005404821100421576
34, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP5_2030_1in1000_,2030,SSP5,1000,1098480,65.9676431376788,886320,53.22667819695168,757380,45.48337116708104,643770,38.660685331315534,546180,32.80005765142507,459570,27.59881814578604,387540,23.273159658415306,333540,20.03026699816236,296940,17.832306417324254,260220,15.62713940835225,202710,12.173458725182863
35, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP5_2030_1in20_,2030,SSP5,20,281790,16.922494865419953,132180,7.937880589485821,78870,4.736424891002774,38130,2.2898425395452744,6660,0.3999567614311967,1380,0.0828739235397975,180,0.010809642200843152,60,0.0036032140669477178,0,0.0,0,0.0,0,0.0
36, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP5_2030_1in200_,2030,SSP5,200,775860,46.593161099700936,497370,29.868843007963104,387390,23.264151623247937,329040,19.760025943141283,292500,17.565668576370122,249330,14.973156055201239,185220,11.123121824667603,123060,7.390192051309769,66900,4.017583684646705,26520,1.592620617590891,2640,0.15854141894569956
37, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP5_2030_1in5_,2030,SSP5,5,67740,4.068028681583973,17250,1.0359240442474689,5580,0.33509890822613775,1140,0.06846106727200663,120,0.0072064281338954355,30,0.0018016070334738589,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
38, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP5_2030_1in50_,2030,SSP5,50,473970,28.463589521853493,288540,17.32785644795157,228720,13.735452023204697,161010,9.6692249486542,95250,5.720102331279501,53400,3.206860519583468,12870,0.7728894173602854,1350,0.08107231650632364,150,0.009008035167369293,60,0.0036032140669477178,30,0.0018016070334738589
39, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP5_2030_1in500_,2030,SSP5,500,933840,56.08042373797427,728460,43.74662198681224,600240,36.04655352574496,500070,30.03098764097575,411660,24.72165171332829,344550,20.691456779447268,302670,18.17641336071776,265590,15.949627067344071,211140,12.679710301589017,151170,9.078297841674773,80190,4.815695600475625
40, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP1_2050_1in10_,2050,SSP1,10,144510,8.678341080243577,67920,4.078838323784816,20340,1.2214895686952763,6390,0.38374229812993194,1440,0.08647713760674522,150,0.009008035167369293,30,0.0018016070334738589,0,0.0,0,0.0,0,0.0,0,0.0
41, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP1_2050_1in100_,2050,SSP1,100,602940,36.20869815875761,367200,22.05167008972003,313650,18.835801534969193,273660,16.434259359348538,218940,13.14812813029222,154140,9.256656937988685,88770,5.330955212049148,47010,2.8231182214535364,8580,0.5152596115735236,1140,0.06846106727200663,90,0.005404821100421576
42, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP1_2050_1in1000_,2050,SSP1,1000,1107330,66.4991172125536,896040,53.81039887579722,768330,46.14095773429899,652770,39.20116744135769,555600,33.36576225993586,467640,28.083450437790507,394020,23.662306777645657,338640,20.33654019385292,301290,18.093539437177963,265050,15.917198140741542,211170,12.681511908622491
43, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP1_2050_1in20_,2050,SSP1,20,301710,18.118761935646596,143220,8.600871977804202,85020,5.105754332864915,43920,2.637552697005729,7260,0.43598890210067376,1620,0.09728677980758837,180,0.010809642200843152,60,0.0036032140669477178,0,0.0,0,0.0,0,0.0
44, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP1_2050_1in200_,2050,SSP1,200,786960,47.25975570208626,508890,30.560660108817068,397200,23.853277123193887,335040,20.120347349836052,296820,17.825099989190356,255840,15.364104781465066,193980,11.64919107844197,132720,7.97030951608835,70890,4.257197420098728,31920,1.9169098836161858,3510,0.21078802291644147
45, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP1_2050_1in5_,2050,SSP1,5,70650,4.242784563830937,17790,1.0683529708499981,6300,0.3783374770295103,1320,0.07927070947284978,150,0.009008035167369293,30,0.0018016070334738589,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
46, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP1_2050_1in50_,2050,SSP1,50,481830,28.935610564623644,297150,17.844917666558572,238920,14.347998414585811,171300,10.287176161135733,104460,6.273195690555975,59580,3.5779915684790833,18240,1.095377076352106,1710,0.10269160090800994,150,0.009008035167369293,60,0.0036032140669477178,30,0.0018016070334738589
47, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP1_2050_1in500_,2050,SSP1,500,942030,56.57226245811263,744960,44.73750585522286,610500,36.66270313119303,512520,30.7786545598674,422940,25.399055957914456,351120,21.086008719778043,306750,18.421431917270205,270450,16.241487406766836,218790,13.13912009512485,157710,9.471048174972076,86280,5.1814218282708175
48, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP2_2050_1in10_,2050,SSP2,10,163710,9.831369581666847,72660,4.363492235073686,24420,1.466508125247721,6780,0.40716318956509207,1680,0.1008899938745361,150,0.009008035167369293,30,0.0018016070334738589,0,0.0,0,0.0,0,0.0,0,0.0
49, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP2_2050_1in100_,2050,SSP2,100,615990,36.99239721831874,377880,22.69304219363672,319500,19.187114906496593,281130,16.882859510683527,230340,13.832738803012287,164520,9.880012971570642,97950,5.882246964292149,54240,3.2573055165207365,15090,0.906208337837351,1500,0.09008035167369294,120,0.0072064281338954355
50, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP2_2050_1in1000_,2050,SSP2,1000,1121370,67.34226930421936,910620,54.685979894065504,782700,47.00392750333297,667920,40.110978993261995,570720,34.27377220480668,482010,28.946420206824484,406860,24.433394587972472,347250,20.853601412459916,308460,18.524123518178214,273540,16.427052931214643,224340,13.472417396317516
51, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP2_2050_1in20_,2050,SSP2,20,314280,18.873635282672144,161130,9.676431376788095,94260,5.660649299174865,50730,3.046517493604295,8640,0.5188628256404714,2130,0.12791409937664397,270,0.01621446330126473,60,0.0036032140669477178,0,0.0,0,0.0,0,0.0
52, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP2_2050_1in200_,2050,SSP2,200,799830,48.03264511944655,528810,31.75692717904371,412590,24.777501531365978,345090,20.723885706049796,303960,18.253882463157137,264210,15.866753143804274,207360,12.452707815371312,145770,8.754008575649479,79440,4.770655424638778,39510,2.3727164630850717,5010,0.3008683745901344
53, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP2_2050_1in5_,2050,SSP2,5,75330,4.5238352610528585,18330,1.1007818974525276,6990,0.41977443879940907,1560,0.09368356574064066,150,0.009008035167369293,30,0.0018016070334738589,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
54, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP2_2050_1in50_,2050,SSP2,50,490770,29.472489460598855,304740,18.300724246027457,251190,15.08485569127662,182640,10.968183619788851,115050,6.909162973372249,66360,3.985154758044175,26160,1.5710013331892048,2520,0.15133499081180413,180,0.010809642200843152,60,0.0036032140669477178,30,0.0018016070334738589
55, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP2_2050_1in500_,2050,SSP2,500,953820,57.28029402226787,766290,46.01844845602277,627300,37.671603069938385,529980,31.827189853349186,440370,26.445789644362772,363240,21.81385796130148,314910,18.911469030375095,278160,16.70450041436962,231540,13.904803084351242,169740,10.193492595395092,99990,6.004756242568371
56, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP3_2050_1in10_,2050,SSP3,10,171570,10.303390624436998,79830,4.794076316073938,27450,1.6484704356285806,7200,0.43238568803372607,1740,0.10449320794148381,210,0.012611249234317012,30,0.0018016070334738589,0,0.0,0,0.0,0,0.0,0,0.0
57, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP3_2050_1in100_,2050,SSP3,100,620880,37.28605916477498,385020,23.1218246676035,323700,19.439339891182936,286230,17.189132706374085,237750,14.277735740280331,171510,10.29978741037005,105300,6.323640687493244,58740,3.5275465715418153,19530,1.172846178791482,1830,0.10989802904190539,120,0.0072064281338954355
