,time,lat,lon,Precipitation,Variable,SSP
5,2040-06-01 12:00:00,22.0,91.0,2.75,R20mm heavy precipitation days,SSP245
5,2040-06-01 12:00:00,22.0,91.0,0.44999998807909725,R50mm very heavy precipitation days,SSP585
5,2040-06-01 12:00:00,22.0,91.0,0.0,Anomaly of r50mm very heavy precipitation days relative to 1995-2014,SSP245
5,2040-06-01 12:00:00,22.0,91.0,1.649999976158142,Anomaly of maximum of 5-day cumulative precipitation relative to 1995-2014,SSP585
5,2040-06-01 12:00:00,22.0,91.0,0.4000000059604977,R50mm very heavy precipitation days,SSP245
5,2040-06-01 12:00:00,22.0,91.0,227.5800018310547,Precipitation,SSP585
5,2040-06-01 12:00:00,22.0,91.0,4.849999904632568,Anomaly of precipitation relative to 1995-2014,SSP245
6,2040-07-01 12:00:00,22.0,91.0,304.9599914550781,Maximum of 5-day cumulative precipitation,SSP585
6,2040-07-01 12:00:00,22.0,91.0,0.25,Anomaly of r50mm very heavy precipitation days relative to 1995-2014,SSP585
6,2040-07-01 12:00:00,22.0,91.0,0.0,Anomaly of r50mm very heavy precipitation days relative to 1995-2014,SSP245
6,2040-07-01 12:00:00,22.0,91.0,-4.170000076293945,Anomaly of maximum of 5-day cumulative precipitation relative to 1995-2014,SSP245
6,2040-07-01 12:00:00,22.0,91.0,0.050000000745092595,Anomaly of r20mm heavy precipitation days relative to 1995-2014,SSP585
6,2040-07-01 12:00:00,22.0,91.0,49.65999984741211,Anomaly of maximum of 5-day cumulative precipitation relative to 1995-2014,SSP585
6,2040-07-01 12:00:00,22.0,91.0,419.82000732421875,Precipitation,SSP585
6,2040-07-01 12:00:00,22.0,91.0,5.349999904632592,R20mm heavy precipitation days,SSP585
6,2040-07-01 12:00:00,22.0,91.0,0.25,Anomaly of r20mm heavy precipitation days relative to 1995-2014,SSP245
6,2040-07-01 12:00:00,22.0,91.0,5.550000190734896,R20mm heavy precipitation days,SSP245
6,2040-07-01 12:00:00,22.0,91.0,251.1300048828125,Maximum of 5-day cumulative precipitation,SSP245
6,2040-07-01 12:00:00,22.0,91.0,38.650001525878906,Anomaly of precipitation relative to 1995-2014,SSP585
6,2040-07-01 12:00:00,22.0,91.0,0.8500000238418981,R50mm very heavy precipitation days,SSP585
6,2040-07-01 12:00:00,22.0,91.0,0.6000000238418981,R50mm very heavy precipitation days,SSP245
6,2040-07-01 12:00:00,22.0,91.0,393.239990234375,Precipitation,SSP245
6,2040-07-01 12:00:00,22.0,91.0,12.069999694824219,Anomaly of precipitation relative to 1995-2014,SSP245
7,2040-08-01 12:00:00,22.0,91.0,0.5,R50mm very heavy precipitation days,SSP585
7,2040-08-01 12:00:00,22.0,91.0,0.3000000119208912,R50mm very heavy precipitation days,SSP245
7,2040-08-01 12:00:00,22.0,91.0,0.20000000298019677,Anomaly of r50mm very heavy precipitation days relative to 1995-2014,SSP585
7,2040-08-01 12:00:00,22.0,91.0,4.099999904632592,R20mm heavy precipitation days,SSP245
7,2040-08-01 12:00:00,22.0,91.0,259.3299865722656,Maximum of 5-day cumulative precipitation,SSP585
7,2040-08-01 12:00:00,22.0,91.0,13.029999732971191,Anomaly of precipitation relative to 1995-2014,SSP245
7,2040-08-01 12:00:00,22.0,91.0,-4.53000020980835,Anomaly of maximum of 5-day cumulative precipitation relative to 1995-2014,SSP585
7,2040-08-01 12:00:00,22.0,91.0,214.58999633789062,Maximum of 5-day cumulative precipitation,SSP245
7,2040-08-01 12:00:00,22.0,91.0,354.57000732421875,Precipitation,SSP585
7,2040-08-01 12:00:00,22.0,91.0,0.25,Anomaly of r20mm heavy precipitation days relative to 1995-2014,SSP585
7,2040-08-01 12:00:00,22.0,91.0,352.0299987792969,Precipitation,SSP245
7,2040-08-01 12:00:00,22.0,91.0,-49.27000045776367,Anomaly of maximum of 5-day cumulative precipitation relative to 1995-2014,SSP245
7,2040-08-01 12:00:00,22.0,91.0,-0.1000000014900926,Anomaly of r20mm heavy precipitation days relative to 1995-2014,SSP245
7,2040-08-01 12:00:00,22.0,91.0,4.449999809265092,R20mm heavy precipitation days,SSP585
7,2040-08-01 12:00:00,22.0,91.0,15.569999694824219,Anomaly of precipitation relative to 1995-2014,SSP585
7,2040-08-01 12:00:00,22.0,91.0,0.0,Anomaly of r50mm very heavy precipitation days relative to 1995-2014,SSP245
8,2040-09-01 12:00:00,22.0,91.0,282.54998779296875,Precipitation,SSP585
8,2040-09-01 12:00:00,22.0,91.0,3.0,R20mm heavy precipitation days,SSP245
8,2040-09-01 12:00:00,22.0,91.0,226.58999633789062,Maximum of 5-day cumulative precipitation,SSP585
8,2040-09-01 12:00:00,22.0,91.0,0.3000000119208912,Anomaly of r20mm heavy precipitation days relative to 1995-2014,SSP245
8,2040-09-01 12:00:00,22.0,91.0,0.25,R50mm very heavy precipitation days,SSP245
8,2040-09-01 12:00:00,22.0,91.0,16.799999237060547,Anomaly of maximum of 5-day cumulative precipitation relative to 1995-2014,SSP585
8,2040-09-01 12:00:00,22.0,91.0,0.3000000119208912,R50mm very heavy precipitation days,SSP585
8,2040-09-01 12:00:00,22.0,91.0,0.050000000745092595,Anomaly of r50mm very heavy precipitation days relative to 1995-2014,SSP585
8,2040-09-01 12:00:00,22.0,91.0,33.16999816894531,Anomaly of precipitation relative to 1995-2014,SSP585
8,2040-09-01 12:00:00,22.0,91.0,260.8900146484375,Maximum of 5-day cumulative precipitation,SSP245
8,2040-09-01 12:00:00,22.0,91.0,29.209999084472656,Anomaly of precipitation relative to 1995-2014,SSP245
8,2040-09-01 12:00:00,22.0,91.0,278.5899963378906,Precipitation,SSP245
8,2040-09-01 12:00:00,22.0,91.0,0.44999998807909725,Anomaly of r20mm heavy precipitation days relative to 1995-2014,SSP585
8,2040-09-01 12:00:00,22.0,91.0,51.099998474121094,Anomaly of maximum of 5-day cumulative precipitation relative to 1995-2014,SSP245
8,2040-09-01 12:00:00,22.0,91.0,3.1500000953673957,R20mm heavy precipitation days,SSP585
8,2040-09-01 12:00:00,22.0,91.0,0.0,Anomaly of r50mm very heavy precipitation days relative to 1995-2014,SSP245
9,2040-10-01 12:00:00,22.0,91.0,242.8000030517578,Maximum of 5-day cumulative precipitation,SSP585
9,2040-10-01 12:00:00,22.0,91.0,0.25,R50mm very heavy precipitation days,SSP585
9,2040-10-01 12:00:00,22.0,91.0,159.0,Precipitation,SSP585
9,2040-10-01 12:00:00,22.0,91.0,1.7799999713897705,Anomaly of precipitation relative to 1995-2014,SSP245
9,2040-10-01 12:00:00,22.0,91.0,1.700000047683692,R20mm heavy precipitation days,SSP585
9,2040-10-01 12:00:00,22.0,91.0,0.050000000745092595,Anomaly of r50mm very heavy precipitation days relative to 1995-2014,SSP245
9,2040-10-01 12:00:00,22.0,91.0,1.5,R20mm heavy precipitation days,SSP245
9,2040-10-01 12:00:00,22.0,91.0,0.3000000119208912,R50mm very heavy precipitation days,SSP245
