element_type,osmid,amenity,name,geometry,wikidata,addr:city,addr:district,building,name:en,website,operator,building:levels,name:bn,wikipedia,addr:postcode,addr:street,level,name:ur,wikimedia_commons,addr:housenumber,opening_hours,nodes,designation,office,addr:housename,internet_access,source,access,surface,area,operator:type,religion,grades,ways,type,ward5wknn,index,points,rank,value
node,11254628593,school,"Edu Aid School and College, Port Connecting Rd, Chattogram",POINT (91.78498 22.3540449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11254638848,school,"Shagorika Ideal International School, pc road, beside Shagorika community center, Chattogram",POINT (91.7856555 22.3537923),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11254684239,school,"Residential Model School & College, Residential Tower, East Port Connecting Rd, Chattogram",POINT (91.7874181 22.3472769),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11264190404,school,"Notun Bazar Government Primary School, Bow Bazar, Chattogram",POINT (91.7894873 22.3441069),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11264421067,school,"Nuha academy kindergarden & High school, Hindu Para Mor, Halishohor, Chattogram",POINT (91.7903386 22.3414991),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11264436757,school,"Cygnus International School, Unit-1",POINT (91.7903916 22.3339367),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11264492115,school,"Delphinium International School, Port Connecting Rd, Chattogram",POINT (91.7918598 22.3334249),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11264492116,school,"South Point Grammar School, Unnamed Road, Chattogram",POINT (91.7905793 22.3332902),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11264496762,school,,POINT (91.7917154 22.3347156),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11265907116,college,"Chittagong of medical technology and MATS, 2 Agrabad Link Road, Chattogram",POINT (91.7902925 22.3296478),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
